id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
84921b80-2226-49d6-843b-ca800e946f7a|BOLT TECHNOLOGY OÜ|True|['Transportation', 'Food, Beverage & Tobacco', 'Software & Services']|BOLT|405419541.13|1320.0|-9.0|-6
97c6b17a-0e67-4c07-9028-9284afe89d7a|VERIFF OÜ|False|['Fintech', 'Software & Services']|VERIFF|24191850.79|324.0|34.0|-4
33743ed2-f486-4593-a7dc-fa6127b5477a|MILREM AS|False|['Agriculture, Aquaculture & Agritech', 'Forestry & Paper', 'Manufacturing']|MILREM ROBOTICS|18840840.96|308.0|12.0|409
75225477-cad2-4f3c-8050-82b49c85dbfa|STARSHIP TECHNOLOGIES OÜ|False|['Infrastructure & Logistics', 'Deep tech']|STARSHIP TECHNOLOGIES|6071895.30|171.0|7.0|6
054c98a5-e09e-466f-9845-d507ed68045a|SALEMOVE OÜ|False|['Fintech', 'Software & Services', 'Telecommunication & Services']|GLIA|4023335.59|125.0|-4.0|21
3ce4ede2-ac1c-4632-9ebf-44e8f6049c0e|DEFSECINTEL SOLUTIONS OÜ|False|['Hardware & Electronic Equipment', 'Defence', 'Deep tech']|DEFSECINTEL|17484152.87|93.0|10.0|24
5a56341c-7da2-41dd-b871-67c4d83f6ed5|KATANA TECHNOLOGIES OÜ|False|['Software & Services']|KATANA MRP|3933656.99|87.0|1.0|11
40ea9032-9f9f-46b2-b0be-644c19e041e4|SCORO SOFTWARE OÜ|False|['Software & Services']|SCORO|5068067.11|86.0|-4.0|30
7ee324d1-1585-4b09-b1f2-370e0ffc38a8|MODULAR TECHNOLOGIES OÜ|False|['Software & Services', 'Fintech']|TUUM|3856295.98|85.0|-1.0|20
063f8ab4-2e46-4cf7-ab8d-aff2dadb6977|OÜ QUALITISTA|False|['Software & Services']|KLAUS|4068789.71|65.0|6.0|26
692dfec8-25fa-424f-90ef-bc69840bb54a|PACTUM AI OÜ|False|['Software & Services']|PACTUM AI OÜ|1983038.75|60.0|4.0|19
5d032c7c-408d-45a2-a2b6-20e89d6033fa|TURNIT OÜ|False|['Road & Rail', 'Software & Services', 'Transportation']|TURNIT|2989348.99|54.0|-2.0|43
4659ab48-1f25-49c2-b4a3-fe12ae2fc7aa|COMODULE OÜ|False|['Hardware & Electronic Equipment', 'Software & Services']|COMODULE|2681208.47|53.0|2.0|-32
75ee3bc4-d225-4072-a689-f86ea967693d|INSLY OÜ|False|['Fintech', 'Software & Services']|INSLY LTD|961074.29|51.0|2.0|-18
8b5de3c5-8e9a-43e1-8a4e-24c243fdefc7|EVOCON OÜ|False|['Engineering', 'Software & Services']|EVOCON OÜ|2295571.68|45.0|5.0|95
