id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage|False
84921b80-2226-49d6-843b-ca800e946f7a|BOLT TECHNOLOGY OÜ|True|['Transportation', 'Food, Beverage & Tobacco', 'Software & Services']|BOLT|405419541.13|1320.0|-9.0|-6|False
33743ed2-f486-4593-a7dc-fa6127b5477a|MILREM AS|False|['Agriculture, Aquaculture & Agritech', 'Forestry & Paper', 'Manufacturing']|MILREM ROBOTICS|18840840.96|308.0|12.0|409|False
75225477-cad2-4f3c-8050-82b49c85dbfa|STARSHIP TECHNOLOGIES OÜ|False|['Infrastructure & Logistics', 'Deep tech']|STARSHIP TECHNOLOGIES|6071895.30|171.0|7.0|6|False
054c98a5-e09e-466f-9845-d507ed68045a|SALEMOVE OÜ|False|['Fintech', 'Software & Services', 'Telecommunication & Services']|GLIA|4023335.59|125.0|-4.0|21|False
3ce4ede2-ac1c-4632-9ebf-44e8f6049c0e|DEFSECINTEL SOLUTIONS OÜ|False|['Hardware & Electronic Equipment', 'Defence', 'Deep tech']|DEFSECINTEL|17484152.87|93.0|10.0|24|False
be966f2e-588b-4470-8a4a-73324d8d5341|ONOFFAPP OÜ|False|['Telecommunication & Services']|ONOFF APP OÜ|3906292.68|57.0|3.0|63|False
5d032c7c-408d-45a2-a2b6-20e89d6033fa|TURNIT OÜ|False|['Road & Rail', 'Software & Services', 'Transportation']|TURNIT|2989348.99|54.0|-2.0|43|False
4659ab48-1f25-49c2-b4a3-fe12ae2fc7aa|COMODULE OÜ|False|['Hardware & Electronic Equipment', 'Software & Services']|COMODULE|2681208.47|53.0|2.0|-32|False
8b5de3c5-8e9a-43e1-8a4e-24c243fdefc7|EVOCON OÜ|False|['Engineering', 'Software & Services']|EVOCON OÜ|2295571.68|45.0|5.0|95|False
43ec41b9-f07c-4ae0-9ece-51cdb2bbc9e0|AMPLER BIKES OÜ|False|['Transportation', 'Engineering']|AMPLER BIKES|840485.03|44.0|12.0|74|False
b682e9ad-47af-47ec-baa4-b641c6beed29|GSCAN OÜ|False|['Deep tech', 'Machinery & Electrical', 'Manufacturing']|GSCAN|632542.45|43.0|0.0|85|False
fec77cab-e9b9-4b0d-bd08-df064feda5c3|R8 TECHNOLOGIES OÜ|False|['Proptech', 'Cleantech']|R8 TECHNOLOGIES|960182.95|39.0|-1.0|9|False
99197307-0ab6-4203-808d-94acf466f23e|FRACTORY SOLUTIONS OÜ|False|['Engineering', 'Infrastructure & Logistics', 'Manufacturing']|FRACTORY|1930443.42|32.0|-1.0|14|False
4e04479b-c1ad-4c90-9eda-4d4e05fafd73|POWERUP FUEL CELLS OÜ|False|['Deep tech', 'Cleantech', 'Energy']|POWERUP FUEL CELLS OÜ|84456.62|30.0|0.0|68|False
52efff7a-66c6-4380-92cb-7d5c82104fc3|EAGRONOM OÜ|False|['Agriculture, Aquaculture & Agritech']|EAGRONOM|840217.43|30.0|3.0|49|False
76c3c992-a03f-4dbe-8819-72281b503887|FUSEBOX OÜ|False|['Energy', 'Software & Services', 'Cleantech']|FUSEBOX ENERGY|504648.90|30.0|10.0|85|False
6e767c2b-1aa9-4ef0-9a8e-5bea23a69cbf|1OT OÜ|False|['Telecommunication & Services', 'Software & Services']|1OT|1554394.29|25.0|2.0|13|False
0b90a5bf-02bf-4e34-96d9-6e84264dd367|AUVE TECH OÜ|False|['Infrastructure & Logistics', 'Automotive', 'Transportation']|AUVE|287114.76|24.0|-2.0|-83|False
7219b981-ddb6-4470-bfd6-f5745e1f48f4|MESSENTE COMMUNICATIONS OÜ|False|['Telecommunication & Services']|MESSENTE COMMUNICATIONS|8472348.09|24.0|0.0|8|False
0e874640-2112-420f-85a2-21fcb4918f85|KRATTWORKS OÜ|False|['Defence', 'Hardware & Electronic Equipment', 'Software & Services']|KRATTWORKS|220816.08|22.0|0.0|146|False
984aa9cd-beda-4907-b1a5-55863f2494e5|RANGEFORCE OÜ|False|['Software & Services', 'Telecommunication & Services']|RANGEFORCE|617757.56|22.0|-1.0|-31|False
f05eb4cd-a1d7-4ab9-8e52-faf6c16c9f4d|ROOFIT SOLAR ENERGY OÜ|False|['Energy', 'Materials & Chemicals', 'Cleantech']|ROOFIT.SOLAR|991220.37|21.0|-6.0|-23|False
01e7fa90-e0d1-4ce4-b098-969333429386|MINDTITAN OÜ|False|['Fintech', 'Energy', 'Telecommunication & Services']|MINDTITAN|383411.79|19.0|0.0|11|False
64128d00-6b36-4a57-b8ac-a1bb4830eab3|GLOBALREADER, OÜ|False|['Engineering']|GLOBALREADER|338933.06|19.0|-2.0|16|False
e04e73cd-060c-4cfd-83fa-c3faeacd9155|SOLARSTONE OÜ|False|['Software & Services', 'Cleantech', 'Proptech']|SOLARSTONE|273893.37|19.0|0.0|-52|False
9b28efd3-90b2-4770-bb95-405df9ee70b5|SENSUS SEPTIMA OÜ|False|['Defence', 'Software & Services']|SENSUSQ|265195.45|18.0|-3.0|3893|False
c8cf3dee-70a5-4c31-aa0a-74d22f218d02|DEGRITTER OÜ|False|['Consumer Electronics & Appliances']|DEGRITTER|515672.79|18.0|2.0|-36|False
0a2bb96d-84e6-4e37-9b10-a4df79ff0c46|OPTIGON OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Cleantech']|VOK BIKES|551865.87|16.0|2.0|39|False
284371fa-f563-480e-bc1c-bad8605d1d01|SUPERHANDS OÜ|False|['Energy', 'Manufacturing', 'Telecommunication & Services']|SUPERHANDS|435570.13|16.0|2.0|-35|False
845a9c25-fd7a-4b8e-b071-9c6d2837b346|WOOLA OÜ|False|['Cleantech', 'E-commerce', 'Manufacturing']|WOOLA|383736.48|16.0|-2.0|44|False
77ec791e-06cc-4026-a475-5923bc72acb9|STAR CLOUD OÜ|False|['Manufacturing', 'Software & Services', 'Edtech']|OPIQ|711743.64|15.0|0.0|-8|False
a5ebc532-2839-4731-92b8-cd4908cb5ff7|MCF GROUP ESTONIA OÜ|False|['Telecommunication & Services', 'Proptech', 'Data & Analytics']|MCF|706502.50|15.0|-1.0|7|False
d9f5ad70-92a2-48a9-a1ea-d6c2ab5b3977|CITYBEE EESTI OÜ|False|['Transportation']|CITYBEE|3253578.07|15.0|-1.0|-16|False
17175007-bf07-492e-aece-297ca3c1e32b|BETTER MEDICINE OÜ|False|['Medical Devices', 'Science Tools & Services', 'Healthcare']|BETTER MEDICINE|12594.71|14.0|2.0|538|False
0e1d4b4c-0a7c-4c3f-ac07-d5bec1ec8c90|LIGHTCODE PHOTONICS OÜ|False|['Deep tech', 'Hardware & Electronic Equipment', 'Engineering']|LIGHTCODE PHOTONICS|7660.75|13.0|0.0|71|False
32cf4697-2492-4c24-8b4b-a2b1403447cb|ARBONICS OÜ|False|['Forestry & Paper', 'Software & Services', 'Cleantech']|ARBONICS|250842.60|13.0|1.0|-4|False
d2524c14-cd07-45c3-a2f2-c5c3fc36d2a1|RINGO ECO OÜ|False|['Cleantech', 'Retail', 'Infrastructure & Logistics']|RINGO|52474.22|13.0|0.0|-40|False
9712ffd0-9f61-4885-b6a2-f1d98722572b|SENDSMAILY OÜ|False|['Software & Services', 'Telecommunication & Services', 'Data & Analytics']|SMAILY EMAIL MARKETING AND AUTOMATION|448349.68|12.0|0.0|13|False
a312f15f-1329-47af-bb09-10cfa5b3a781|CARA HEALTH OÜ|False|['Digital Health', 'E-commerce', 'Healthcare']|CARÁ HEALTH|20276.37|12.0|1.0|18|False
122cb03d-0c84-4286-9506-2726c92a3654|EZIIL PRODUCTION INTELLIGENCE OÜ|False|['Software & Services', 'Engineering']|EZIIL PRODUCTION INTELLIGENCE OÜ|143981.90|11.0|0.0|-15|False
06efd5fe-6972-4bef-93a4-0eb4b86eeec9|OÜ EYEVI TECHNOLOGIES|False|['Road & Rail', 'Construction', 'Data & Analytics']|EYEVI TECHNOLOGIES|303269.37|10.0|0.0|-35|False
a63ad63f-4004-415c-9c41-db08ac286d09|REBELROAM OÜ|False|['Telecommunication & Services', 'Transportation', 'Software & Services']|REBELROAM OÜ|1342616.02|10.0|0.0|8|False
1a43a76e-3f45-4962-aaef-c03c246f5d9e|UPSTEAM EESTI OÜ|False|['Software & Services', 'Transportation', 'Automotive']|FLEETFOX|55801.77|9.0|0.0|-128|False
3d7c976a-5773-48fb-b705-3d1cacf56793|THINNECT OÜ|False|['Telecommunication & Services', 'Software & Services']|THINNECT|115930.43|9.0|0.0|184|False
833ba022-c3bb-4a44-a42b-9fc6625d0dd2|HEPTA GROUP AIRBORNE OÜ|False|['Cleantech', 'Data & Analytics', 'Energy']|HEPTA AIRBORNE (ESTONIA)|275513.81|9.0|2.0|-38|False
e0ab8f6d-1400-4686-bf49-2a625ef8891e|MYDELLO OÜ|False|['Road & Rail', 'Aerospace', 'Transportation']|MYDELLO|1903360.49|9.0|-1.0|-3|False
214313a4-da2b-4a9e-a3be-bbd7c35a85b3|DRIVEX TECHNOLOGIES OÜ|False|['Automotive', 'Deep tech']|DRIVEX TECHNOLOGIES|123002.90|8.0|0.0|3|False
b91afc94-2c51-4acc-94b8-21fe3d657101|BIDRENT OÜ|False|['Software & Services', 'Cleantech', 'Proptech']|BIDRENTO|123317.49|8.0|-2.0|4|False
c013b9af-924a-44a9-86f8-4b3f632a1c4f|REVERSE RESOURCES OÜ|False|['Manufacturing', 'Data & Analytics']|REVERSE RESOURCES|463963.97|8.0|2.0||False
c79387a5-8d5a-482f-8fd7-f7f1a8abc8fe|BOTGUARD OÜ|False|['Software & Services', 'Telecommunication & Services']|BOTGUARD|9448518.40|8.0|1.0|372|False
e0ca3322-cd49-4e0f-9230-bbbec5cdc4ba|GRIDIO 2.0 OÜ|False|['Energy']|GRIDIO|31074.54|8.0|1.0|48|False
0b9ee7dd-eeea-4191-9177-2d1dce2d2361|SPACEIT OÜ|False|['Software & Services', 'Data & Analytics', 'Aerospace']|SPACEIT|326876.38|7.0|0.0|23|False
8fe146dd-8fa2-427b-a9bd-ba5464237f67|OÜ REWILD|False|['Data & Analytics', 'Transportation', 'Construction']|REWILD|104764.51|7.0|0.0|17|False
994c21db-4ac3-4e94-b6ce-6126dda9fabc|MAGNETIC IP OÜ|False|['Household & Personal Products', 'Energy']|MAGNETIC IP OU|34389.34|7.0|-1.0|212|False
d074fc98-3149-4bc5-9884-f372f70da3b5|WAYBILLER OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Software & Services']|WAYBILLER OÜ|127534.94|7.0|0.0|-1|False
d8a1c34f-ff58-4bce-85f6-b228d1e8a1f9|AUTLO OÜ|False|['Transportation', 'Fintech']|AUTLO OÜ|182667.57|7.0|1.0|149|False
277bcc0b-210f-4ff1-af40-aad83741602f|CLOUD FACTORY OÜ|False|['Creative Industries', 'Textiles, Apparel & Luxury Goods', 'Manufacturing']|CLOUD FACTORY|147960.43|6.0|0.0|147|False
2c121324-93c0-44b2-bf34-be04363b9bb8|AUTOBAHN TECHNOLOGIES OÜ|False|['Data & Analytics', 'Software & Services', 'Manufacturing']|AUTOBAHN|266658.50|6.0|1.0|15|False
2d9141ff-ddf7-45cd-befc-8ddee6a1cb37|TARKVENT OÜ|False|['Proptech', 'Cleantech', 'Energy']|CALIDITY|111667.42|6.0|-1.0|-33|False
7ed41e23-4ade-484e-9ac7-5860057a17fb|SINGLE.EARTH OÜ|False|['Fintech', 'Cleantech']|SINGLE.EARTH||6.0|0.0||False
