Company,Status,Email,Industries,Turnover_Change
BOLT,Applied,notices.estonia@bolt.eu,"['Transportation', 'Food, Beverage & Tobacco', 'Software & Services']",-6
MILREM ROBOTICS,Applied,info@milrem.com,"['Agriculture, Aquaculture & Agritech', 'Forestry & Paper', 'Manufacturing']",409
STARSHIP TECHNOLOGIES,Applied,info@starship.xyz,"['Infrastructure & Logistics', 'Deep tech']",6
GLIA,Applied,darina.danchenko@gliatalent.com,"['Fintech', 'Software & Services', 'Telecommunication & Services']",21
DEFSECINTEL,Applied,info@defsecintel.com,"['Hardware & Electronic Equipment', 'Defence', 'Deep tech']",24
TURNIT,Applied,info@turnit.com,"['Road & Rail', 'Software & Services', 'Transportation']",43
COMODULE,Applied,info@comodule.com,"['Hardware & Electronic Equipment', 'Software & Services']",-32
EVOCON OÜ,Applied,info@evocon.com,"['Engineering', 'Software & Services']",95
AMPLER BIKES,Applied,hello@amplerbikes.com,"['Transportation', 'Engineering']",74
GSCAN,Applied,madis.kiisk@gscan.eu,"['Deep tech', 'Machinery & Electrical', 'Manufacturing']",85
R8 TECHNOLOGIES,Applied,info@r8tech.io,"['Proptech', 'Cleantech']",9
FRACTORY,Applied,info.ee@fractory.com,"['Engineering', 'Infrastructure & Logistics', 'Manufacturing']",14
POWERUP FUEL CELLS OÜ,Applied,info@powerup-tech.com,"['Deep tech', 'Cleantech', 'Energy']",68
EAGRONOM,Applied,hello@eagronom.com,"['Agriculture, Aquaculture & Agritech']",49
FUSEBOX ENERGY,Applied,info@fusebox.energy,"['Energy', 'Software & Services', 'Cleantech']",85
1OT,Applied,hello@1oT.com,"['Telecommunication & Services', 'Software & Services']",13
AUVE,Applied,hello@auve.tech,"['Infrastructure & Logistics', 'Automotive', 'Transportation']",-83
