id,name,registry_code,favicon,is_unicorn,industries,business_types,lists,display_name,turnover,labour_taxes,employees,lq_turnover,lq_labour_taxes,lq_employees,ly_turnover,ly_labour_taxes,ly_employees,employees_change,turnover_change_percentage,labour_taxes_change_percentage,ly_employees_change,ly_turnover_change_percentage,ly_labour_taxes_change_percentage
9b9521a2-1125-4e44-9db6-0fd66d5ce157,WISE PAYMENTS LIMITED EESTI FILIAAL,12461545,/logos/static/12461545.webp,False,['Fintech'],"['C2C', 'B2C', 'B2B']",['ALL'],WISE,34783072.40,10634556.45,2050.0,31030031.39,9967484.88,2006.0,236511.37,8963606.37,1948.0,44.0,12,7,102.0,14607,19
84921b80-2226-49d6-843b-ca800e946f7a,BOLT TECHNOLOGY OÜ,12417834,,True,"['Transportation', 'Food, Beverage & Tobacco', 'Software & Services']",['B2B2C'],"['EstVCA2021', 'ALL', 'Superangel', 'EstVCA2023', 'EstVCA2024', 'EstVCA2020', 'EstVCA2022', 'EstVCA2019']",BOLT,405419541.13,11390944.03,1320.0,430629702.85,10661322.38,1329.0,289840997.24,9817703.96,1278.0,-9.0,-6,7,42.0,40,16
76b3a409-c827-418e-8725-0510d5692b71,"PLAYTECH ESTONIA, OÜ",10736593,,False,[],[],['ALL'],"PLAYTECH ESTONIA, OÜ",12556700.27,4364284.96,657.0,13007312.68,4299064.12,661.0,12109481.51,4063104.26,654.0,-4.0,-3,2,3.0,4,7
9eb5ceae-ffb5-4576-a16f-465e70de357a,MICROSOFT DEVELOPMENT CENTER ESTONIA OÜ,11056239,/logos/static/11056239.ico,False,[],[],['ALL'],MICROSOFT DEVELOPMENT CENTER ESTONIA OÜ,16520627.73,5869525.34,427.0,15017204.68,7595158.84,430.0,15309254.79,4811280.22,405.0,-3.0,10,-23,22.0,8,22
a51cd2fd-ccd0-4353-901b-8d07ae9cb875,PIPEDRIVE OÜ,11958539,/logos/static/11958539.webp,False,[],[],['ALL'],PIPEDRIVE OÜ,121025023.42,3176677.36,382.0,79064399.29,3030844.32,369.0,46363289.63,3577697.52,387.0,13.0,53,5,-5.0,161,-11
97c6b17a-0e67-4c07-9028-9284afe89d7a,VERIFF OÜ,12932944,/logos/static/12932944.webp,False,"['Fintech', 'Software & Services']","['B2B', 'B2B2C']","['EstVCA2023', 'EstVCA2024', 'ALL', 'Superangel']",VERIFF,24191850.79,2165964.62,324.0,25273535.12,1822132.44,290.0,41879285.65,1730274.10,257.0,34.0,-4,19,67.0,-42,25
33743ed2-f486-4593-a7dc-fa6127b5477a,MILREM AS,12494266,/logos/static/12494266.webp,False,"['Agriculture, Aquaculture & Agritech', 'Forestry & Paper', 'Manufacturing']","['B2G', 'B2B']",['ALL'],MILREM ROBOTICS,18840840.96,2605394.44,308.0,3702733.98,1945303.87,296.0,1493869.82,1357243.47,214.0,12.0,409,34,94.0,1161,92
abeff647-e285-4ed7-8d4c-3df884720298,VG ESTONIA OÜ,14591789,/logos/static/14591789.webp,False,[],[],['ALL'],VG ESTONIA OÜ,14593752.85,1984542.62,280.0,9614570.66,1894056.95,275.0,11402147.90,2010640.21,292.0,5.0,52,5,-12.0,28,-1
e72c21a0-323c-44a5-a85c-4d12265822e6,GOWORKABIT ESTONIA OÜ,12679310,/logos/static/12679310.ico,False,[],[],['ALL'],GOWORKABIT,1567767.22,536171.58,231.0,1799406.67,565974.00,249.0,1136430.76,373834.78,100.0,-18.0,-13,-5,131.0,38,43
75225477-cad2-4f3c-8050-82b49c85dbfa,STARSHIP TECHNOLOGIES OÜ,12673365,/logos/static/12673365.ico,False,"['Infrastructure & Logistics', 'Deep tech']",[],"['Superangel', 'EstVCA2023', 'EstVCA2024', 'EstVCA2020', 'EstVCA2022', 'EstVCA2019', 'EstVCA2021', 'ALL']",STARSHIP TECHNOLOGIES,6071895.30,1070606.55,171.0,5723416.49,1094061.63,164.0,5447748.72,1081300.95,151.0,7.0,6,-2,20.0,11,-1
525a636a-b706-4dd8-ab03-6fa9dde1028c,THREOD SYSTEMS AS,12323903,,False,[],[],['ALL'],THREOD SYSTEMS AS,8647338.12,993049.99,160.0,7104189.32,721849.49,155.0,12872178.57,669132.04,130.0,5.0,22,38,30.0,-33,48
9cd55962-f4c4-4edf-bdf3-0f6a1be74aff,WALLESTER AS,11812882,/logos/static/11812882.ico,False,[],[],['ALL'],WALLESTER AS,548240.62,882746.26,132.0,1166260.63,734415.85,113.0,547100.20,726213.38,106.0,19.0,-53,20,26.0,0,22
054c98a5-e09e-466f-9845-d507ed68045a,SALEMOVE OÜ,12977800,/logos/static/12977800.webp,False,"['Fintech', 'Software & Services', 'Telecommunication & Services']","['B2B2C', 'B2B']",['ALL'],GLIA,4023335.59,1345420.04,125.0,3331618.60,1162861.66,129.0,3750442.35,1330609.31,142.0,-4.0,21,16,-17.0,7,1
c35d4efd-b37a-4673-8ddc-2a979fb41323,"SKELETON TECHNOLOGIES, OÜ",11711827,/logos/static/11711827.ico,False,[],[],"['EstVCA2024', 'ALL', 'EstVCA2023']","SKELETON TECHNOLOGIES, OÜ",3156109.85,823297.97,115.0,2364038.87,844496.71,116.0,2871978.51,868449.21,126.0,-1.0,34,-3,-11.0,10,-5
1a850b0d-01d0-497b-a4ab-32b6629905cd,CLEVERON AS,11405467,,False,[],[],"['EstVCA2024', 'ALL', 'EstVCA2023']",CLEVERON AS,5966701.38,727063.19,113.0,10142174.99,807972.73,113.0,6251528.19,745722.03,139.0,0.0,-41,-10,-26.0,-5,-3
3ce4ede2-ac1c-4632-9ebf-44e8f6049c0e,DEFSECINTEL SOLUTIONS OÜ,14514582,/logos/static/14514582.ico,False,"['Hardware & Electronic Equipment', 'Defence', 'Deep tech']","['B2B', 'B2G']",['ALL'],DEFSECINTEL,17484152.87,949183.44,93.0,14096806.82,617182.59,83.0,19996272.34,356558.58,49.0,10.0,24,54,44.0,-13,166
75c08866-0321-470b-a259-118779e4dcd5,BOKU NETWORK SERVICES ESTONIA OÜ,11378397,/logos/static/11378397.ico,False,[],[],['ALL'],BOKU NETWORK SERVICES ESTONIA OÜ,2558230.32,771158.71,91.0,2247220.81,701248.22,91.0,8500425.98,864709.02,104.0,0.0,14,10,-13.0,-70,-11
